class_name,keywords
coca_355,"['Coca Cola 355 ml','7501055361540']"
coca_600,"['Coca Cola 600 ml','75007614']"
delaware_355,"['Delaware Punch 355 ml','7501055365609']"
delaware_600,"['Delaware Punch 600 ml','7501055304653']"
fresca_355,"['Fresca 355 ml','7501055365470']"
fresca_600,"['Fresca 600 ml','7501055303786']"
sidral_355,"['Sidral Mundet 355 ml','7501055363162']"
sidral_600,"['Sidral Mundet 600 ml','7501055339983']"
powerade_azul_355,"['Powerade mora azul 355 ml','7501055370986']"
powerade_azul_500,"['Powerade mora azul 500 ml','7501055329267']"
fuzetea_600,"['Fuze Tea de durazno 600 ml','7501055317875']"
